"U1","U2","U3","U4","Class","U6","U7","U8","U9"
"J",40.098,79.392,35,"Class2","B",43.193,55,99.708
"B",48.231,46.459,48,"Class3","I",2.804,47,16.652
"X",83.524,51.334,18,"Class1","H",66.656,77,23.189
"F",37.099,81.645,18,"Class2","U",40.487,69,NA
"X",88.887,57.83,62,"Class1","B",65.128,65,63.947
"J",NA,67.835,27,"Class2","O",40.046,68,65.054
"E",25.501,72.949,31,"Class3","T",2.57,36,47.605
"E",NA,78.386,41,"Class2","O",33.315,54,NA
"E",39.806,54.83,26,"Class2","O",45.548,68,92.733
"C",92.89,59.653,40,"Class1","N",62.84,79,47.189
"F",37.327,54.846,39,"Class2","Z",37.222,69,68.534
"B",54.758,28.623,48,"Class3","T",2.76,64,8.539
"E",19.028,28.667,43,"Class3","U",2.375,16,NA
"O",39.122,56.976,40,"Class2","O",33.118,83,45.551
"W",84.149,21.117,78,"Class3","U",2.268,27,82.958
"T",85.446,54.074,69,"Class1","R",79.812,63,89.766
"T",96.367,58.432,20,"Class1","R",67.118,69,30.184
"J",38.365,75.429,25,"Class2","B",45.547,54,48.057
"F",38.85,67.925,14,"Class2","R",37.207,62,67.443
"B",45.578,21.315,50,"Class3","Q",2.206,50,91.735
"F",75.669,NA,29,"Class3","I",2.422,NA,40.152
"B",74.638,56.101,55,"Class3","I",2.204,65,39.793
"F",41.258,55.293,18,"Class2","Z",NA,67,66.018
"X",86.34,55.526,64,"Class1","H",46.52,73,29.677
"B",22.139,34.438,76,"Class3","W",2.587,17,NA
"E",37.946,54.521,27,"Class2","B",27.16,45,83.731
"O",37.337,77.31,19,"Class2","U",27.241,80,75.699
"F",40.543,97.252,16,"Class2","R",16.304,75,NA
"J",25.107,50.863,47,"Class3","Q",2.625,33,51.876
"T",93.026,54.993,64,"Class1","R",58.984,72,69.499
"B",76.479,52.533,81,"Class3","W",2.27,34,41.883
"E",78.961,9.154,NA,"Class3","U",2.47,28,28.654
"E",29.227,66.422,39,"Class3","Q",2.783,41,39.73
"W",64.323,48.49,29,"Class3","Q",2.194,50,41.226
"B",84.616,17.765,80,"Class3","W",3.024,60,55.448
