"M1","M2","M3","Class","M5","M6","M7","M8","M9"
52.85,"G",25,"Class2",63.089,54,19.088,"N",81.755
61.698,"R",69,"Class3",55.115,29,73.059,"E",42.469
18.968,"M",56,"Class1",12.643,27,7.384,"Q",37.758
67.74,"S",16,"Class3",51.663,22,6.296,"E",61.398
70.709,"X",10,"Class3",52.993,NA,39.921,"N",7.574
58.433,"K",25,"Class2",62.233,58,17.137,"Q",69.736
16.183,"V",58,"Class1",6.361,54,7.535,"L",NA
15.506,"A",67,"Class1",10.502,55,4.058,"N",31.899
54.53,"A",24,"Class2",59.847,82,19.915,"N",82.456
16.483,"O",67,"Class1",34.43,32,7.158,"H",28.985
78.22,"R",57,"Class3",56.513,21,97.905,"L",81.454
10.945,"L",24,"Class2",NA,92,17.445,"N",61.04
19.133,"L",24,"Class2",61.764,72,15.965,"D",66.832
85,"L",69,"Class3",55.589,21,42.545,"E",5.02
76.433,"S",NA,"Class3",51.73,19,NA,"L",53.312
14.571,"A",58,"Class1",8.714,58,12.934,"C",53.685
45.037,"K",24,"Class2",59.488,86,15.501,"N",55.116
17.054,"O",65,"Class1",6.394,81,6.84,"H",52.279
49.162,"U",66,"Class3",49.137,25,54.861,"N",18.442
23.546,"G",24,"Class2",61.899,51,17.83,"N",60.53
86.214,"U",79,"Class3",57.84,18,73.527,"J",50.543
14.022,"L",24,"Class2",59.773,39,17.785,"D",76.904
71.75,"R",57,"Class3",48.973,23,56.057,"J",68.468
8.225,"L",25,"Class2",60.561,84,22.838,"V",57.686
28.03,"J",25,"Class2",NA,38,20.079,"V",NA
90.054,"L",59,"Class3",47.814,20,61.448,"L",63.319
87.278,"S",13,"Class3",55.186,29,74.267,"P",45.113
4.353,"L",25,"Class2",NA,78,17.637,"N",72.76
17.043,"O",63,"Class1",1.095,71,14.772,"C",7.102
66.572,"R",57,"Class3",58.389,29,50.395,"N",26.88
77.27,"R",65,"Class3",48.677,25,35.924,"N",69.954
52.917,"R",NA,"Class3",52.602,22,66.688,"P",64.925
13.004,"A",25,"Class2",60.395,47,NA,"V",83.15
13.883,"K",25,"Class2",64.997,91,12.096,"C",94.203
60.446,"A",NA,"Class2",64.026,80,12.268,"N",63.885
14.43,"V",58,"Class1",19.648,55,0.416,"H",40.583
59.075,"J",24,"Class2",63.87,38,20.929,"N",66.119
20.937,"J",24,"Class2",57.354,76,13.147,"Q",84.068
48.259,"G",25,"Class2",58.102,61,21.641,"D",64.436
74.199,"S",29,"Class3",44.167,24,77.414,"L",81.789
55.377,"X",60,"Class3",44.213,18,44.366,"E",42.098
16.168,"L",65,"Class1",15.944,84,13.105,"N",63.9
88.186,"X",42,"Class3",53.677,21,63.59,"J",67.013
73.544,"S",3,"Class3",47.895,27,-18.538,"P",106.804
46.789,"A",25,"Class2",62.009,83,15.861,"C",72.332
65.007,"J",24,"Class2",61.648,45,21.332,"N",75.794
76.974,"S",85,"Class3",56.448,23,38.456,"L",74.131
10.687,"L",24,"Class2",58.869,75,13.453,"Q",79.728
17.962,"A",55,"Class1",27.366,27,0.114,"Q",32.165
17.677,"O",62,"Class1",NA,31,8.231,"H",37.595
15.806,"O",58,"Class1",13.806,85,NA,"Q",67.016
93.314,"L",NA,"Class3",51.581,25,69.136,"E",70.066
