"H1","H2","H3","H4","H5","H6","Class","H8","H9"
69.541,84.426,49.444,7,11,63.823,"Class4","J","Q"
86.723,76.796,4.08,36,90,9.787,"Class1","M","X"
69.368,96.278,26.834,40,8,88.892,"Class4","T","A"
NA,57.284,-0.442,23,22,79.831,"Class4","T","U"
52.4,82.458,22.353,63,22,8.045,"Class3","X","X"
92.735,68.902,2.997,33,90,26.993,"Class1","M","T"
40.087,14.276,68.03,7,28,59.237,"Class2","S","Y"
70.338,64.092,47.858,57,13,65.65,"Class4","S","J"
NA,45.012,4.467,40,90,29.912,"Class1","M","S"
64.137,59.114,49.015,80,15,78.302,"Class4","J","A"
54.124,71.265,34.691,NA,31,13.825,"Class3","X","C"
73.507,63.676,4.514,59,87,33.298,"Class1","Y","T"
62.064,57.292,57.313,89,16,64.878,"Class4","E","Q"
58.204,60.119,23.724,61,15,61.592,"Class4","E","A"
40.356,18.272,21.227,15,74,58.321,"Class2","L","Y"
66.569,80.988,27.543,91,24,3.453,"Class3","U","Q"
41.525,23.498,40.423,4,70,35.389,"Class2","C","R"
66.065,75.616,50.929,82,10,88.625,"Class4","J","J"
NA,60.689,NA,45,85,42.343,"Class1","N","T"
71.333,30.542,4.474,34,94,19.244,"Class1","G","K"
66.519,69.465,31.041,58,24,77.129,"Class4","J","Q"
72.398,81.067,39.821,62,33,18.861,"Class3","Y","G"
79.727,77.314,19.265,71,40,28.498,"Class3","R","Q"
42.781,67.336,45.724,55,34,17.998,"Class3","U","F"
48.798,63.314,35.386,96,38,32.385,"Class3","Y","Q"
65.876,84.614,27.347,NA,37,21.474,"Class3","E","C"
82.991,88.259,5.153,65,94,21.872,"Class1","N","X"
73.894,63.733,54.401,22,16,NA,"Class4","S","Q"
79.151,69.353,24.353,55,22,2.147,"Class3","R","F"
65.874,NA,56.728,76,13,76.904,"Class4","S","Q"
42.129,24.881,32.134,3,61,36.279,"Class2","C","A"
NA,62.901,28.864,84,24,12.981,"Class3","Y","G"
87.893,85.554,4.254,51,93,26.119,"Class1","Y","T"
65.169,NA,46.357,69,13,67.548,"Class4","S","A"
81.357,87.435,3.295,32,80,NA,"Class1","M","K"
77.102,42.491,4.793,40,80,23.468,"Class1","G","L"
NA,81.356,NA,56,21,71.325,"Class4","E","A"
41.624,27.397,55.626,10,33,18.118,"Class2","C","T"
76.142,61.311,37.828,74,43,24.121,"Class3","X","C"
