"X1","X2","X3","X4","X5","X6","X7","Class","X9"
82.503,38,"E","S",43.807,67.421,49.191,"Class2",49
NA,19,"C","Y",77.587,38.564,64.664,"Class1",47
94.814,24,"E","M",41.004,75.012,65.715,"Class2",32
48.343,15,"J","L",NA,40.116,66.076,"Class1",70
59.343,19,"A","R",16.864,38.319,64.305,"Class1",66
62.552,NA,"S","C",30.745,45.932,67.806,"Class1",56
57.871,11,"C","L",47.386,29.143,63.926,"Class1",53
48.595,14,"S","C",18.511,33.144,65.37,"Class1",92
77.87,23,"U","B",-14.966,45.406,83.655,"Class2",40
61.428,4,"S","C",28.624,34.533,67.327,"Class1",61
88.73,28,"U","J",59.152,73.997,59.128,"Class2",21
60.756,11,"S","L",58.393,30.644,65.907,"Class1",97
66.486,14,"E","C",59.355,NA,NA,"Class1",48
NA,40,"U","S",64.611,58.684,56.75,"Class2",19
75.871,30,"R","J",0.195,60.188,49.698,"Class2",37
87.258,29,"M","S",36.623,72.279,44.465,"Class2",44
87.865,37,"U","S",90.381,85.923,56.815,"Class2",57
92.618,19,"Y","J",40.272,46.158,70.375,"Class2",12
55.658,10,"C","L",31.847,36.239,64.187,"Class1",62
71.604,25,"R","S",89.728,38.423,41.604,"Class2",27
52.897,4,"S","U",26.047,34.805,66.35,"Class1",94
54.243,5,"A","Y",10.117,32.889,64.051,"Class1",53
86.669,40,"Y","Q",50.799,74.666,52.062,"Class2",12
45.429,7,"E","C",29.768,32.831,65.482,"Class1",89
72.753,23,"R","S",45.303,71.876,69.382,"Class2",44
87.119,28,"M","Q",37.485,71.019,48.361,"Class2",41
64.703,29,"U","J",-6.727,75.529,54.132,"Class2",9
NA,37,"R","S",23.435,70.177,62.966,"Class2",NA
95.842,33,"R","S",48.167,56.064,49.621,"Class2",47
96.848,31,"U","M",52.881,70.624,61.085,"Class2",46
70.051,13,"C","Y",61.275,34.479,65.762,"Class1",58
54.839,13,"A","L",68.69,42.076,63.18,"Class1",67
NA,8,"A","R",38.535,33.029,66.643,"Class1",63
NA,18,"C","U",32.789,41.898,65.452,"Class1",60
64.629,14,"C","L",34.777,36.702,67.984,"Class1",90
83.077,25,"U","M",62.079,87.026,70.923,"Class2",48
74.158,33,"R","J",19.478,80.536,64.675,"Class2",NA
86.19,35,"U","B",67.406,58.771,59.156,"Class2",32
51.361,18,"C","U",51.104,30.932,63.263,"Class1",NA
52.812,2,"A","C",54.143,35.492,64.894,"Class1",51
