"D1","Class","D3","D4","D5","D6","D7","D8","D9"
46,"Class1",86.248,"W",53.829,59.076,85,28.216,"D"
65,"Class3",11.814,"A",29.762,81.201,90,61.872,"V"
41,"Class3",15.195,"C",29.788,72.474,28,85.043,"P"
29,"Class2",NA,"W",87.433,47.451,63,14.409,"D"
51,"Class1",92.787,"M",38.327,49.001,88,26.274,"D"
59,"Class1",82.472,"G",45.799,58.693,95,33.485,"S"
53,"Class1",81.742,"S",50.311,57.674,79,35.76,"C"
40,"Class2",NA,"W",89.696,39.948,57,10.871,"C"
40,"Class2",17.549,"W",77.132,NA,51,12.602,"C"
29,"Class2",33.158,"Y",85.177,40.804,56,10.482,"D"
14,"Class4",14.885,"P",56.624,86.824,72,49.387,"T"
29,"Class3",2.115,"A",29.655,76.222,47,51.783,"B"
60,"Class2",28.198,"J",86.899,50.304,52,13.503,"I"
28,"Class3",10.657,"M",29.764,84.777,56,55.453,"V"
57,"Class2",50.557,"S",82.982,NA,41,7.271,"D"
48,"Class1",81.04,"V",41.291,52.943,70,24.032,"D"
64,"Class2",27.72,"J",83.191,49.279,48,NA,"P"
40,"Class2",53.745,"Y",81.567,42.333,48,10.187,"M"
14,"Class4",22.741,"S",44.603,NA,69,44.298,"R"
15,"Class4",27.825,"F",0.704,84.464,45,47.234,"T"
60,"Class2",26.578,"R",85.53,48.79,41,6.92,"P"
49,"Class1",87.001,"S",53.011,55.537,82,34.239,"S"
62,"Class1",92.613,"W",21.589,59.967,83,30.665,"C"
56,"Class2",45.956,"W",89.492,58.875,61,15.69,"C"
31,"Class2",38.824,"W",87.904,58.154,42,18.648,"D"
63,"Class2",10.932,"S",97.16,42.098,NA,21.99,"D"
56,"Class1",91.952,"S",53.49,47.37,91,27.28,"C"
62,"Class3",11.669,"C",28.969,86.279,60,47.12,"P"
60,"Class1",80.289,"W",52.375,49.383,95,40.511,"D"
31,"Class2",22.684,"S",95.197,43.101,51,13.89,"C"
33,"Class3",14.906,"R",29.34,85.1,82,56.26,"P"
15,"Class4",46.817,"S",50.127,84.356,40,34.139,"R"
60,"Class2",56.846,"S",90.059,50.629,61,16.456,"C"
55,"Class1",85.269,"G",35.408,60.377,77,25.759,"D"
14,"Class4",31.728,"Z",46.49,81.215,40,41.344,"E"
28,"Class3",4.64,"R",29.743,84.404,88,NA,"P"
14,"Class4",19.425,"Z",18.483,92.104,66,29.033,"T"
36,"Class2",47.825,"J",81.899,40.482,68,12.745,"C"
60,"Class1",79.071,"S",30.055,56.67,95,25.141,"C"
61,"Class1",87.81,"W",41.485,NA,78,NA,"N"
45,"Class2",11.034,"S",87.127,41.562,48,18.479,"I"
49,"Class2",6.662,"Y",89.872,44.871,NA,NA,"D"
43,"Class3",20.45,"V",29.754,83.34,82,65.254,"B"
14,"Class4",41.674,"Z",44.611,NA,63,50.175,"R"
45,"Class1",86.973,"G",30.545,56.596,65,31.383,"Q"
60,"Class2",7.6,"J",82.956,46.999,54,16.489,"M"
49,"Class3",13.258,"R",29.342,84.522,52,77.602,"P"
54,"Class3",17.091,"C",29.404,80.269,87,58.54,"P"
51,"Class1",78.148,"G",47.936,63.201,64,34.28,"N"
57,"Class1",82.848,"S",34.697,62.64,65,30.479,"Q"
NA,"Class2",47.103,"Y",86.365,43.738,38,13.116,"I"
47,"Class1",80.09,"G",38.706,57.975,78,13.581,"S"
19,"Class3",20.423,"M",29.615,79.19,32,NA,"Q"
58,"Class3",14.383,"A",29.455,77.253,66,67.401,"A"
36,"Class3",15.302,"R",29.377,76.762,47,60.424,"B"
23,"Class3",8.666,"R",29.343,78.741,71,97.659,"B"
55,"Class1",90.772,"V",44.327,52.449,79,41.654,"Q"
14,"Class4",24.744,"Z",55.794,78.53,32,41.984,"T"
14,"Class4",26.994,"Z",67.159,92.996,39,NA,"T"
NA,"Class1",87.135,"V",26.53,61.21,68,40.261,"S"
56,"Class2",70.706,"Y",87.191,40.593,68,7.47,"I"
NA,"Class4",36.218,"F",63.214,97.693,42,32.366,"C"
52,"Class1",82.942,"S",63.789,54.751,70,21.339,"D"
15,"Class4",25.9,"P",63.978,88.113,37,39.919,"E"
27,"Class3",19.548,"A",29.283,83.559,60,63.321,"B"
52,"Class1",86.402,"G",47.639,49.254,93,12.515,"D"
15,"Class4",24.397,"Z",58.225,NA,74,46.92,"C"
