"Z1","Z2","Z3","Z4","Z5","Z6","Class","Z8","Z9"
47.433,23.082,49.283,"H",27.758,"J","Class1",44,78
45.099,39.542,87.914,"E",20.642,"C","Class1",32,82
NA,85.106,NA,"O",54.718,"I","Class2",79,9
43.249,47.597,80.107,"C",48.239,"E","Class1",38,NA
38.992,11.337,86.715,"C",64.433,"L","Class3",13,28
46.689,25.449,38.934,"I",89.349,"E","Class1",9,78
28.047,28.914,72.025,"M",53.703,"U","Class3",13,37
103.188,70.194,83.209,"F",40.767,"T","Class2",76,5
85.979,74.776,79.773,"C",48.684,"W","Class2",73,4
47.462,41.114,87.477,"F",47.628,"U","Class3",13,31
22.853,88.064,86.25,"M",51.035,"C","Class2",75,6
45.489,39.605,75.681,"E",56.418,"C","Class1",20,79
46.012,38.942,55.97,"E",50.867,"E","Class1",39,NA
54.522,11.071,55.819,"B",59.095,"T","Class4",NA,90
46.835,34.646,37.003,"C",57.171,"E","Class1",28,95
45.806,62.373,44.1,"O",55.19,"X","Class4",66,94
87.494,71.199,76.928,"G",35.861,"C","Class2",77,12
48.802,10.017,47.44,"O",35.907,"X","Class4",70,90
45.114,71.4,72.822,"C",28.932,"W","Class2",52,4
37.786,23.402,88.532,"F",85.111,"U","Class3",12,28
64.891,76.239,78.18,"C",53.381,"C","Class2",81,1
46.869,23.666,88.68,"L",81.212,"E","Class1",21,81
44.938,39.948,42.528,"B",46.491,"J","Class4",72,92
45.962,36.297,53.816,"H",81.055,"A","Class1",19,97
62.47,NA,67.67,"C",31.343,"W","Class2",66,3
62.662,75.972,80.294,"F",33.895,"S","Class2",68,7
27.916,41.691,82.612,"M",NA,"J","Class3",13,35
60.209,78.572,80.016,"F",65.438,"C","Class2",65,2
49.519,32.099,28.609,"C",38.835,"F","Class4",67,NA
48.465,56.065,65.791,"T",63.594,"O","Class3",12,52
43.051,35.909,69.631,"E",70.364,"J","Class1",24,87
50.47,49.199,37.238,"O",64.412,"T","Class4",73,NA
47.922,4.686,NA,"B",45.019,"J","Class4",66,91
46.568,34.595,88.908,"C",72.253,"C","Class1",28,92
82.237,85.583,72.955,"C",32.839,"I","Class2",52,11
