"S1","S2","Class","S4","S5","S6","S7","S8","S9"
"H",50.783,"Class3",21,54.097,42.375,70,18.237,"H"
"E",50.201,"Class2",65,45.332,79.665,38,62.898,"U"
"M",57.416,"Class2",68,42.558,67.326,68,43.593,"U"
"P",NA,"Class1",59,52.565,13.811,42,NA,"Z"
"L",51.442,"Class2",68,44.125,76.535,NA,35.702,"K"
"O",52.698,"Class2",65,63.669,74.261,33,42.721,"K"
"E",86.528,"Class1",17,50.196,5.425,43,32.342,"N"
"P",58.515,"Class1",43,55.692,15.099,49,70.558,"N"
"L",58.887,"Class2",68,59.737,67.464,43,80.754,"G"
"D",50.509,"Class3",18,46.825,35.007,61,20.402,"D"
"D",50.757,"Class3",22,47.445,49.548,64,13.127,"K"
"O",52.87,"Class2",69,46.755,70.61,60,36.687,"U"
"R",55.695,"Class1",22,50.007,15.516,53,57.119,"V"
"P",55.72,"Class1",52,47.375,4.632,49,62.046,"S"
"Q",58.111,"Class3",11,52.803,35.326,63,16.662,"I"
"D",52.21,"Class3",21,48.132,26.265,65,11.062,"I"
"D",45.799,"Class3",25,51.455,41.21,68,19.527,"H"
"M",52.057,"Class2",68,54.352,75.626,65,59.218,"I"
"O",51.785,"Class2",66,47.522,69.932,43,71.99,"G"
"L",52.395,"Class2",66,51.095,69.259,44,84.061,"J"
"L",53.378,"Class2",69,59.776,70.207,68,86.472,"I"
"M",54.609,"Class2",65,56.453,75.29,64,53.959,"J"
"A",53.99,"Class1",75,50.197,22.625,34,33.098,"Z"
"A",39.133,"Class1",28,58.253,20.909,53,18.785,"Z"
"D",59.699,"Class3",13,52.984,43.545,64,19.204,"I"
"R",58.746,"Class1",7,45.692,-3.071,48,36.481,"N"
"D",55.756,"Class3",25,52.949,34.802,64,12.819,"G"
"M",55.083,"Class2",68,54.278,75.35,39,42.739,"I"
"E",45.658,"Class1",9,55.731,NA,30,21.305,"N"
"O",55.946,"Class2",68,58.054,68.332,37,37.841,"J"
"R",78.832,"Class1",71,51.467,10.631,30,36.267,"S"
"D",61.283,"Class3",21,48.616,26.95,63,14.18,"K"
"H",40.502,"Class3",15,46.024,28.398,64,NA,"I"
"P",75.11,"Class1",75,46.144,9.63,33,40.295,"S"
"C",59.091,"Class1",73,53.79,23.489,50,21.71,"S"
"E",57.894,"Class2",NA,55.7,76.747,36,84.854,"J"
"K",55.169,"Class3",22,55.769,38.566,66,14.585,"K"
"M",56.888,"Class2",66,43.142,75.128,38,NA,"K"
"E",56.952,"Class1",26,54.539,11.401,40,39.566,"S"
"K",60.884,"Class3",20,54.491,23.909,61,20.48,"K"
"O",55.728,"Class2",67,51.078,71.625,45,55.191,"J"
"M",50.354,"Class2",67,61.631,73.277,63,82.738,"U"
"P",63.457,"Class1",71,58.158,5.642,31,21.59,"G"
"I",52.66,"Class2",65,53.446,74.439,65,78.056,"U"
"E",51.772,"Class1",52,57.805,4.325,45,71.417,"Z"
"P",51.927,"Class3",15,54.119,51.041,63,12.962,"G"
"P",26.986,"Class1",62,51.693,9.492,45,19.554,"Z"
"Q",51.824,"Class3",19,52.6,31.407,67,10.759,"G"
"K",49.505,"Class3",13,49.424,48.415,62,19.897,"G"
"C",99.547,"Class1",23,53.28,20.155,NA,37.614,"N"
"Q",56.102,"Class3",14,50.445,44.366,69,20.47,"I"
"P",29.007,"Class1",27,56.816,8.406,41,30.529,"Z"
"P",45.031,"Class3",12,49.591,33.247,70,20.102,"H"
"R",54.67,"Class1",12,53.636,11.244,41,64.904,"V"
"E",NA,"Class2",69,47.767,75.708,46,98.199,"I"
"O",54.646,"Class2",67,58.858,80.219,56,38.932,"K"
"E",51.195,"Class2",65,NA,77.926,62,91.782,"U"
"I",52.717,"Class2",68,57.58,75.258,NA,76.862,"I"
"C",88.397,"Class1",41,46.244,17.135,33,12.79,"Z"
"P",49.945,"Class3",17,43.201,34.629,69,17.72,"K"
"D",51.715,"Class3",NA,48.582,40.5,63,10.383,"I"
"R",58.857,"Class1",38,50.862,1.416,47,45.085,"N"
"R",56.328,"Class1",51,54.533,1.845,37,45.994,"Z"
"R",37.761,"Class1",68,46.468,15.452,47,56.099,"Z"
"P",55.018,"Class3",24,45.946,38.576,59,15.242,"G"
"I",53.644,"Class2",68,56.371,77.765,39,98.952,"K"
