"L1","L2","L3","L4","L5","L6","L7","Class","L9"
37.768,85.44,16.782,68,"J","S",66.246,"Class1",76
60.162,58.047,79.326,33,"G","T",47.75,"Class3",70
62.409,53.706,74.631,34,"N","M",58.265,"Class3",50
53.818,88.7,12.629,72,"B","R",24.554,"Class4",NA
65.909,58.086,44.647,86,"S","A",26.523,"Class2",58
NA,88.256,13.713,NA,"X","E",47.894,"Class4",29
22.706,47.08,5.736,83,"H","M",-12.867,"Class2",48
53.437,46.307,54.404,66,"Z","J",15.422,"Class2",47
73.474,88.416,15.164,82,"N","E",NA,"Class4",10
65.629,85.877,6.062,27,"H","Y",58.567,"Class1",79
54.929,88.526,11.66,38,"A","R",15.466,"Class4",14
63.676,88.971,13.493,59,"T","K",29.005,"Class4",9
61.093,84.246,25.744,49,"F","K",59.772,"Class1",80
NA,84.512,6.743,67,"Z","K",66.11,"Class1",80
62.237,87.932,12.835,70,"X","R",70.918,"Class4",NA
59.344,NA,50.978,83,"S","B",66.988,"Class2",50
22.094,66.518,53.041,52,"H","M",63.095,"Class2",45
43.738,53.105,59.414,85,"S","M",84.943,"Class2",50
35.278,50.404,28.83,68,"P","A",46.754,"Class2",55
50.267,85.606,31.208,65,"F","K",94.785,"Class1",77
31.688,56.335,36.763,53,"H","J",33.042,"Class2",52
71.293,87.946,14.525,80,"A","O",60.903,"Class4",18
64.574,NA,71.446,36,"G","R",67.723,"Class3",73
57.712,88.337,15.125,46,"T","E",30.903,"Class4",11
68.157,87.787,14.085,74,"A","M",-21.3,"Class4",9
66.211,56.017,78.568,41,"G","F",NA,"Class3",52
70.216,85.215,26.66,30,"F","R",60.948,"Class1",79
65.262,87.11,11.8,38,"X","K",30.015,"Class4",20
53.315,84.359,NA,17,"H","S",NA,"Class1",76
37.601,87.78,13.983,50,"B","K",31.804,"Class4",29
61.933,52.317,76.256,39,"C","F",57.964,"Class3",51
NA,66.435,57.947,89,"S","J",69.823,"Class2",58
68.419,58.567,75.236,33,"Q","N",64.653,"Class3",72
42.345,49.778,9.864,65,"H","J",47.927,"Class2",53
67.675,56.384,24.445,96,"P","B",61.838,"Class2",59
21.019,58.153,72.441,70,"D","M",103.438,"Class2",51
89.676,57.637,62.682,40,"N","T",60.802,"Class3",56
64.484,88.776,12.569,46,"A","E",55.547,"Class4",10
NA,85.558,52.114,39,"F","Y",70.23,"Class1",75
