"U1","U2","U3","U4","U5","U6","Class","U8","U9"
33.478,NA,23.31,2.775,"Z",62,"Class3",80.573,"H"
52.155,NA,19.582,2.214,"C",60,"Class3",75.33,"X"
40.705,97,98.616,32.597,"V",41,"Class1",66.331,"D"
93.383,74,37.787,45.78,"N",76,"Class2",18.775,"W"
23.407,36,33.349,2.828,"Z",52,"Class3",69.619,"Y"
41.973,88,98.324,33.635,"X",53,"Class1",89.912,"D"
NA,21,37.49,2.593,"Z",63,"Class3",64.176,"T"
88.298,55,36.937,36.446,"N",NA,"Class2",15.108,"E"
47.777,22,53.467,3.126,"U",63,"Class3",47.859,"H"
52.605,100,98.993,32.016,"Q",53,"Class1",69.173,"S"
83.664,73,37.839,36.764,"Q",26,"Class2",20.956,"X"
48.976,98,98.703,32.286,"Y",50,"Class1",66.136,"J"
46.634,90,98.834,32.94,"Q",73,"Class1",69.362,"V"
90.369,63,37.807,64.77,"Q",41,"Class2",7.192,"B"
81.27,62,38.519,58.892,"Q",53,"Class2",16.913,"W"
61.612,32,29.206,3.916,"Z",65,"Class3",72.316,"T"
28.618,91,98.536,33.809,"X",67,"Class1",77.064,"J"
29.348,90,97.949,33.04,"Q",45,"Class1",74.858,"J"
41.473,94,97.833,33.694,"V",64,"Class1",55.566,"V"
32.699,100,99.087,33.428,"Q",NA,"Class1",53.293,"S"
40.75,29,21.688,3.453,"F",58,"Class3",62.806,"H"
33.532,98,98.535,32.951,"Y",54,"Class1",60.451,"D"
NA,55,37.292,71.357,"L",65,"Class2",NA,"W"
79.177,61,37.814,17.339,"L",46,"Class2",20.053,"S"
86.614,56,39.418,62.014,"C",86,"Class2",16.198,"E"
91.442,65,38.501,44.825,"V",53,"Class2",11.47,"B"
40.616,89,98.697,33.38,"V",50,"Class1",54.06,"O"
17.515,36,40.783,3.759,"F",60,"Class3",79.658,"D"
90.582,61,38.8,NA,"V",65,"Class2",14.026,"X"
NA,90,98.699,33.777,"X",67,"Class1",60.866,"D"
76.085,14,41.048,3.948,"U",57,"Class3",51.55,"Y"
86.344,58,37.713,31.047,"V",NA,"Class2",21.429,"S"
22.817,6,32.185,3.55,"Z",61,"Class3",78.539,"Y"
85.636,53,38.205,64.934,"N",76,"Class2",13.598,"B"
81.79,68,38.017,25.928,"N",64,"Class2",18.171,"W"
13.457,NA,7.522,3.735,"L",64,"Class3",74.393,"X"
88.073,69,37.759,57.729,"Q",40,"Class2",20.093,"X"
44.538,28,38.651,2.016,"F",52,"Class3",77.617,"T"
85.787,71,37.414,48.892,"V",NA,"Class2",20.155,"E"
42.436,7,25.881,3.738,"U",65,"Class3",64.919,"X"
47.85,8,5.893,3.025,"L",55,"Class3",55.105,"Y"
89.799,74,36.299,19.212,"C",37,"Class2",17.912,"S"
80.449,73,37.928,17.179,"V",66,"Class2",22.67,"S"
34.196,13,35.393,2.289,"F",55,"Class3",47.539,"Y"
52.943,88,98.47,33.472,"V",69,"Class1",51.693,"V"
83.415,54,36.865,68.946,"L",42,"Class2",16.116,"B"
51.268,87,97.814,33.656,"Y",50,"Class1",98.604,"O"
43.915,96,NA,33.388,"V",56,"Class1",96.15,"S"
86.581,75,38.373,59.51,"N",72,"Class2",16.625,"W"
39.225,90,98.031,33.483,"V",46,"Class1",51.459,"S"
80.594,73,37.077,20.38,"V",65,"Class2",10.304,"S"
19.42,17,-3.35,2.513,"Z",62,"Class3",83.688,"Y"
90.167,56,36.867,50.833,"V",56,"Class2",22.733,"W"
28.184,100,98.431,33.214,"V",70,"Class1",50.127,"D"
38.693,91,98.644,32.572,"V",41,"Class1",96.076,"D"
62.622,26,53.252,3.008,"F",NA,"Class3",73.276,"X"
85.589,76,38.165,47.471,"L",42,"Class2",10.183,"B"
87.868,56,38.57,25.922,"C",64,"Class2",8.091,"E"
46.361,23,50.281,2.48,"Z",NA,"Class3",99.035,"T"
85.693,64,38.032,63.732,"C",51,"Class2",9.257,"W"
84.694,59,37.451,55.942,"L",29,"Class2",8.926,"X"
47.438,21,19.674,2.677,"U",65,"Class3",64.782,"T"
46.608,9,45.701,2.053,"F",53,"Class3",62.656,"T"
84.327,63,37.991,42.93,"V",48,"Class2",7.793,"X"
57.289,23,9.359,2.69,"C",55,"Class3",84.022,"D"
40.848,86,98.327,32.861,"O",66,"Class1",93.438,"O"
52.513,88,98.942,33.243,"V",45,"Class1",85.982,"J"
87.293,NA,38.466,59.586,"V",83,"Class2",16.008,"S"
