"P1","P2","Class","P4","P5","P6","P7","P8","P9"
53.257,"G","Class2",45,44.673,36.042,98.06,"F",85
21.641,"G","Class2",46,56.438,46.02,92.866,"F",38
18.059,"R","Class2",47,34.739,51.451,74.661,"J",35
49.245,"X","Class1",18,75.243,77.325,84.415,"Y",76
49.316,"M","Class1",16,78.911,62.882,89.69,"D",21
34.249,"N","Class1",18,78.9,NA,82.625,"L",78
46.364,"A","Class3",NA,26.201,92.404,54.008,"N",55
42.579,"X","Class3",69,84.121,92.103,49.147,"P",75
61.295,"T","Class1",16,71.643,58.053,87.376,"Y",68
38.941,"B","Class3",67,NA,92.377,62.824,"L",68
NA,"A","Class3",67,77.705,92.736,17.481,"W",56
38.936,"X","Class3",69,79.258,92.447,57.805,"W",49
21.5,"G","Class2",54,72.643,106.606,48.464,"J",NA
53.499,"Q","Class2",55,34.598,74.709,72.456,"L",73
36.162,"A","Class3",67,83.028,92.401,74.497,"W",62
39.887,"Y","Class3",67,21.651,92.383,46.272,"N",78
20.516,"Q","Class2",51,43.605,5.115,68.995,"Z",59
30.379,"N","Class1",16,67.468,49.35,88.488,"R",43
19.355,"X","Class1",18,77.295,52.389,85.958,"D",89
54.289,"X","Class1",16,77.579,57.257,84.292,"Y",53
74.52,"X","Class2",55,37.557,32.865,59.09,"W",68
54.781,"X","Class2",57,NA,21.321,40.502,"F",40
55.493,"P","Class1",18,73.121,62.183,84.718,"Y",43
17.507,"N","Class1",19,78.695,81.603,85.06,"Y",73
64.905,"G","Class2",56,46.815,92.312,86.202,"J",62
81.959,"R","Class2",60,39.121,48.343,NA,"F",49
44.163,"X","Class1",16,75.113,54.037,84.38,"R",26
37.127,"Y","Class3",67,55.36,92.628,24.073,"C",77
43.305,"M","Class1",18,71.345,51.468,84.016,"D",83
50.063,"X","Class2",47,48.391,0.687,56.369,"J",48
27.545,"Q","Class2",59,65.665,-2.763,63.512,"F",58
40.229,"X","Class3",69,23.942,92.65,30.391,"L",58
42.068,"X","Class3",67,50.776,92.304,60.262,"W",62
45.405,"X","Class3",67,47.117,91.836,49.805,"L",51
31.324,"P","Class1",16,70.53,66.622,85.593,"Y",75
54.626,"P","Class1",18,79.038,79.68,86.262,"R",43
35.709,"T","Class1",16,NA,64.954,85.06,"D",49
51.454,"X","Class2",46,37.584,18.493,50.206,"F",68
77.21,"I","Class2",41,38.199,53.493,54.355,"L",65
