"Class","N2","N3","N4","N5","N6","N7","N8","N9"
"Class3","C",91.693,37.89,"X",69,41.252,71.154,76
"Class2","L",38.568,97.276,"F",82,72.112,20.03,12
"Class1","U",53.764,15.335,"K",85,89.432,72.677,58
"Class3","W",92.798,25.371,"X",67,28.189,66.487,60
"Class1","Z",53.334,NA,"K",85,71.939,84.988,60
"Class2","B",49.609,97.312,"F",81,74.82,36.937,63
"Class1","Z",49.577,16.031,"I",85,101.346,79.655,57
"Class3","C",86.298,25.199,"X",64,29.397,66.663,45
"Class1","C",53.532,10.199,"K",79,70.584,90.119,59
"Class3","A",82.71,38.155,"Q",92,28.826,NA,84
"Class4","Z",51.761,25.625,"Y",11,20.879,72.719,66
"Class2","X",58.773,93.574,"S",80,NA,22.966,46
"Class4","M",27.881,30.92,"S",37,26.503,62.376,58
"Class3","E",85.827,35.8,"Q",66,38.163,74.482,73
"Class4","M",78.017,NA,"B",47,16.828,56.815,60
"Class4","W",65.895,7.802,"F",23,17.772,53.146,74
"Class4","M",15.954,39.207,"Q",35,29.751,64.514,61
"Class1","M",42.402,16.177,"L",70,89.991,79.702,60
"Class4","B",13.438,6.018,"B",44,8.729,57.482,70
"Class2","X",41.254,95.002,"L",83,60.585,0.476,10
"Class4","Z",NA,10.895,"B",42,12.516,NA,64
"Class3","W",82.563,46.642,"H",93,17.186,71.944,67
"Class2","C",41.621,95.855,"S",82,58.239,12.657,42
"Class4","M",56.961,13.166,"S",39,15.88,70.251,70
"Class1","U",53.755,14.064,"L",60,NA,76.183,57
"Class3","W",84.298,5.577,"H",93,33.642,71.803,76
"Class1","U",46.411,17.71,"S",63,74.393,87.062,59
"Class4","F",11.391,NA,"F",29,15.548,82.638,59
"Class3","C",82.865,35.707,"F",70,29.417,70.805,87
"Class2","L",57.924,NA,"L",79,93.571,27.541,58
"Class2","X",51.034,94.268,"Z",78,65.769,18.704,40
"Class3","A",90.147,12.124,"Q",83,38.218,73.84,92
"Class3","C",82.858,11.974,"Q",70,21.266,69.413,73
"Class3","A",87.536,27.35,"F",87,45.363,68.949,68
"Class2","C",57.592,93.385,"F",NA,27.515,41.158,54
"Class2","L",56.728,94.34,"S",NA,54.374,20.348,47
"Class3","C",91.086,29.094,"S",95,47.429,74.94,95
"Class2","L",47.097,94.318,"F",84,70.537,19.084,35
"Class2","L",55.905,95.761,"Z",84,NA,14.58,NA
