"Q1","Q2","Q3","Q4","Q5","Q6","Class","Q8","Q9"
76.908,12.151,81,49,"Y","F","Class1",54.645,52.642
NA,52.739,19,66,"W","T","Class4",91.17,84.509
76.682,56.122,9,3,"D","P","Class2",57.503,62.154
69.605,108.149,79,51,"Y","U","Class1",24.052,20.43
51.629,52.694,67,31,"O","T","Class4",91.154,77.339
88.271,49.327,95,4,"D","I","Class2",76.09,59.306
87.409,48.07,32,10,"R","O","Class2",36.409,52.321
85.078,54.506,21,2,"D","R","Class2",25.495,55.078
60.448,56.103,73,30,"M","J","Class5",48.962,85.288
77.725,36.005,35,36,"V","K","Class3",65.118,60.509
51.862,47.357,30,69,"W","X","Class4",32.377,88.942
45.254,39.277,63,31,"T","I","Class3",81.016,8.791
72.181,91.635,53,21,"B","X","Class3",57.402,23.32
93.702,26.613,83,45,"Q","L","Class1",66.503,NA
84.794,80.332,62,5,"R","I","Class2",23.052,51.462
76.766,29.71,63,3,"O","A","Class2",67.927,56.773
40.269,78.645,88,49,"G","J","Class3",67.457,NA
68.464,65.519,96,11,"O","O","Class2",51.556,69.37
51.007,43.473,26,70,"S","L","Class4",NA,86.504
77.155,50.468,82,51,"Q","U","Class1",30.528,39.632
51.582,53.937,17,58,"V","X","Class4",73.038,87.942
