"H1","H2","H3","H4","H5","H6","Class","H8","H9"
47,84.373,"E",84.756,35.513,"C","Class2",49,36.109
54,22.711,"E",76.689,35.073,"W","Class1",52,59.985
56,22.05,"W",49.282,48.073,"N","Class1",82,46.318
69,1.415,"G",59.327,28.922,"C","Class3",50,73.699
72,43.502,"N",14.379,29.075,"Q","Class3",54,74.958
35,86.77,"N",97.984,34.013,"S","Class2",48,35.985
28,25.446,"A",46.785,45.543,"W","Class1",82,70.633
53,NA,"E",43.334,24.373,"N","Class1",48,44.357
72,32.513,"N",38.112,24.08,"H","Class3",55,66.639
45,74.304,"Y",89.587,33.59,"F","Class2",48,38.873
75,25.36,"O",8.828,NA,"Q","Class3",50,68.84
NA,15.538,"W",27.154,31.796,"T","Class1",69,NA
74,2.615,"T",26.85,22.789,"H","Class3",63,73.499
31,78.141,"Z",95.108,34.574,"H","Class2",48,44.403
72,55.831,"N",45.047,20.136,"H","Class3",72,70.26
75,51.512,"N",11.587,28.223,"L","Class3",71,67.027
58,24.63,"W",68.224,39.921,"S","Class1",32,50.911
32,79.036,"Z",83.486,32.441,"F","Class2",43,46.343
40,20.514,"A",22.771,53.25,"W","Class1",72,38.728
76,47.201,"T",10.712,28.435,"Q","Class3",68,77.537
60,23.11,"E",67.272,41.166,"N","Class1",NA,35.75
31,86.814,"E",97.381,NA,"S","Class2",42,37.019
21,25.575,"N",75.017,52.853,"Z","Class1",71,52.064
49,79.963,"T",93.725,32.679,"C","Class2",43,46.979
34,74.742,"N",81.68,33.35,"C","Class2",32,40.202
10,19.693,"E",35.966,33.111,"T","Class1",20,77.059
20,15.6,"C",NA,39.565,"Z","Class1",26,52.416
45,69.815,"T",90.315,33.196,"S","Class2",34,39.017
74,29.425,"G",8.931,29.28,"H","Class3",52,73.297
72,8.661,"G",23.758,27.976,"T","Class3",80,67.407
42,84.947,"Z",NA,32.378,"S","Class2",50,39.71
74,23.916,"N",31.732,27.154,"Q","Class3",50,70.59
10,17.422,"N",63.121,32.943,"Z","Class1",57,46.594
37,76.205,"Y",88.961,33.564,"F","Class2",38,38.001
33,75.984,"Z",82.931,32.313,"C","Class2",33,30.161
52,21.981,"E",33.259,20.122,"W","Class1",NA,65.568
34,74.669,"N",86.666,33.974,"C","Class2",32,NA
30,70.664,"Y",81.707,35.025,"U","Class2",37,38.89
