"E1","E2","E3","E4","E5","Class","E7","E8","E9"
70.681,"O","J",44.228,27.641,"Class2",NA,66.045,NA
57.092,"M","M",36.714,42.618,"Class2",19,72.706,74
40.692,"E","E",34.054,72.561,"Class2",29,79.497,29
83.692,"S","O",61.439,80.367,"Class1",18,81.39,63
84.013,"I","Y",61.549,63.207,"Class1",12,78.699,66
73.282,"M","M",41.504,12.943,"Class2",16,68.647,66
85.971,"P","Y",61.065,53.291,"Class1",30,76.554,69
66.906,"M","N",37.745,72.088,"Class2",36,74.176,54
52.312,"C","J",36.15,41.421,"Class2",28,82.693,39
78.382,"S","P",61.354,78.48,"Class1",27,79.754,62
39.575,"N","J",46.681,37.533,"Class2",34,62.086,31
80.75,"I","O",62.167,NA,"Class1",49,78.952,70
69.463,"E","J",21.592,35.606,"Class2",15,81.856,54
74.542,"E","E",27.251,58.039,"Class2",35,55.307,47
73.49,"E","R",56.282,NA,"Class2",37,60.142,66
78.892,"S","P",61.345,69.868,"Class1",32,80.373,70
83.519,"P","L",61.025,66.523,"Class1",20,75.153,63
75.545,"U","Z",61.781,78.057,"Class1",21,79.224,67
80.255,"U","Z",61.055,86.947,"Class1",18,76.954,71
44.647,"C","R",27.434,52.634,"Class2",41,55.596,49
78.39,"P","Y",61.61,66.897,"Class1",12,74.799,62
48.44,"O","E",33.477,52.66,"Class2",28,58.604,57
65.939,"M","R",28.79,31.184,"Class2",35,69.119,57
60.056,"O","E",29.068,25.326,"Class2",NA,73.253,28
63.345,"E","N",31.304,23.475,"Class2",31,80.202,58
79.124,"U","L",61.842,62.759,"Class1",38,75.832,65
84.771,"S","L",61.402,57.2,"Class1",45,80.717,68
85.337,"U","Z",61.731,58.5,"Class1",14,81.807,NA
81.255,"U","Z",61.226,67.994,"Class1",49,75.464,71
68.994,"C","M",28.709,33.992,"Class2",39,81.938,50
80.324,"C","Z",61.95,65.564,"Class1",41,80.39,62
65.373,"E","E",NA,70.23,"Class2",22,69.669,34
77.567,"C","Z",61.633,53.337,"Class1",29,73.553,70
69.952,"C","J",46.903,26.326,"Class2",24,78.422,53
76.145,"P","O",61.094,59.63,"Class1",36,77.627,70
85.109,"P","Y",61.581,61.331,"Class1",17,78.376,66
