"S1","S2","S3","S4","S5","Class","S7","S8","S9"
"J",5,19.535,82,75.64,"Class4",56.531,"W",85.528
"R",83,35.162,10,51.14,"Class1",10.179,"Y",70.013
"I",90,54.187,52,85.286,"Class5",50.058,"Q",12.492
"J",3,37.945,81,57.739,"Class4",36.953,"B",NA
"E",84,43.826,72,82.266,"Class5",13.434,"P",93.209
"U",81,82.866,71,54.577,"Class2",95.624,"G",67.744
"T",90,48.738,65,83.225,"Class5",20.996,"Q",29.947
"J",92,86.015,51,58.522,"Class2",85.346,"H",66.628
"D",89,12.186,13,38.524,"Class1",14.782,"S",61.163
"F",87,62.523,73,85.409,"Class5",30.493,"J",70.687
"T",92,33.243,67,84.931,"Class5",43.723,"U",15.2
"I",88,59.591,50,84.63,"Class5",37.339,"E",4.538
"F",85,NA,65,84.373,"Class5",48.972,"E",NA
"Q",4,62.928,26,78.349,"Class3",63.631,"P",43.839
"R",58,83.756,69,55.751,"Class2",44.548,"Y",73.992
"D",88,64.661,61,35.887,"Class1",21.868,"S",78.708
"V",84,30.31,25,NA,"Class1",8.164,"C",51.352
"J",3,14.548,79,37.196,"Class4",49.84,"P",79.839
"W",87,58.877,53,85.344,"Class5",32.762,"J",16.364
"V",86,44.406,53,37.55,"Class1",14.554,"I",89.607
"S",84,82.886,62,54.278,"Class2",62.216,"G",79.071
"Y",54,NA,56,55.186,"Class2",73.815,"H",62.39
"O",NA,90.513,26,32.965,"Class3",55.507,"P",46.825
"T",88,45.429,56,83.02,"Class5",26.385,"U",92.457
"U",60,84.082,63,54.627,"Class2",57.379,"M",61.063
"Y",71,84.542,49,48.721,"Class2",40.16,"W",78.379
"R",84,19.313,34,47.621,"Class1",4.464,"L",85.746
"E",88,49.904,59,82.302,"Class5",9.471,"P",68.184
"Q",4,76.357,27,49.786,"Class3",66.915,"P",50.131
"U",86,84.538,50,49.329,"Class2",109.521,"G",65.96
"T",85,106.753,56,83.178,"Class5",23.041,"U",30.271
"D",85,73.421,38,44.762,"Class1",13.233,"C",62.955
"Q",4,28.647,83,68.44,"Class4",NA,"U",73.865
"X",4,97.819,26,19.92,"Class3",55.541,"A",44.872
"J",2,16.988,82,40.896,"Class4",43.946,"P",60.08
"K",86,65.549,49,38.477,"Class1",9.05,"C",63.489
"Y",81,84.697,58,58.606,"Class2",92.171,"Y",71.58
"S",83,83.781,63,55.867,"Class2",46.231,"G",65.178
"J",56,83.525,53,58.364,"Class2",NA,"H",66.039
"I",83,34.972,NA,48.596,"Class1",16.821,"Y",90.878
"J",7,NA,93,50.536,"Class4",75.044,"W",59.52
"D",84,38.035,25,41.279,"Class1",15.402,"Y",80.496
"X",4,98.96,29,44.657,"Class3",61.744,"Y",43.966
"D",87,27.599,NA,43.556,"Class1",8.666,"L",42.964
"I",82,45.722,35,48.438,"Class1",16.281,"C",67.081
"I",85,83.756,62,83.555,"Class5",34.716,"J",60.52
"T",83,67.282,49,84.002,"Class5",34.128,"J",61.739
"D",85,73.519,14,52.332,"Class1",0.006,"S",95.735
"W",90,79.742,73,84.561,"Class5",40.818,"E",87.053
"K",91,50.113,53,49.753,"Class1",24.457,"S",44.972
"Q",2,2.106,80,88.675,"Class4",44.607,"W",53.322
"S",67,84.573,63,NA,"Class2",85.199,"W",70.663
